	Series	SMILES	IC50
53	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnn2ccc(cc12)-c1cccc(c1)S(=O)(=O)C	1.5
54	SFK40	CS(=O)(=O)c1ccc(cc1)-c1cnc(c(c1)-c1ccc(nc1)C(F)(F)F)N	10
55	SFK40	Nc1ncc(nc1-c1ccc(cc1)C(F)(F)F)-c1ccc(cc1)C(=O)N1CCNCC1	10
56	SFK40	Nc1ncc(nc1-c1ccc(cc1)C(F)(F)F)-c1ccc(cc1)C(=O)N1CCNCC1	10
57	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C	0.119
58	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C	1.76
59	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C	1.47
60	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C	1.91
61	SFK52	CS(=O)(=O)Nc1cccc(c1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C	0.331
62	SFK52	CS(=O)(=O)Nc1cccc(c1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C	0.401
63	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)C(=O)N	0.346
64	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)C(=O)N	0.482
65	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)C(F)(F)F	3.58
66	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)C(F)(F)F	4.4
67	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)C(F)(F)F	2.02
68	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)N	0.0895
69	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)N	0.114
70	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1cccc(c1)S(=O)(=O)C	0.0902
71	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1cccc(c1)S(=O)(=O)C	0.111
72	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)-c1nn[nH]n1	0.807
73	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)-c1nn[nH]n1	0.611
74	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C1CC1	0.355
75	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C1CC1	0.272
76	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)N1CCCC1	0.045
77	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)N1CCCC1	0.0601
78	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cncc(c1)S(=O)(=O)C	30
79	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(nc1)S(=O)(=O)C	0.00645
80	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(nc1)S(=O)(=O)C	0.00664
81	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)S(=O)(=O)N1CCC1	0.116
82	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)S(=O)(=O)N1CCC1	0.377
83	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)S(=O)(=O)N1CCC1	3.77
84	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)S(=O)(=O)N1CCC1	0.226
85	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)S(=O)(=O)N1CCC1	1.6
86	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)S(=O)(=O)N1CCC1	2.9
87	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)S(=O)(=O)N1CCC1	1.75
88	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)S(=O)(=O)N1CCC1	0.835
89	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)S(=O)(=O)NCCO	0.491
90	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)S(=O)(=O)NCCO	1.2
91	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)S(=O)(=O)NCCO	0.807
92	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)S(=O)(=O)NCCO	1.84
93	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)S(=O)(=O)NCCO	5.06
94	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)S(=O)(=O)NCCO	4.2
95	SFK52	Cn1cnc2cc(ccc12)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C	0.87
96	SFK52	Cn1cnc2cc(ccc12)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C	1.1
97	SFK52	Cn1ncc2cc(ccc12)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C	0.0367
98	SFK52	Cn1ncc2cc(ccc12)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C	0.0274
99	SFK52	CS(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)C	2.33
100	SFK52	CS(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)C	4.09
101	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)Nc1cccc(c1)S(=O)(=O)C	0.59
102	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)Nc1cccc(c1)S(=O)(=O)C	0.0301
103	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)Nc1cccc(c1)S(=O)(=O)C	0.0228
104	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)Nc1cccc(c1)S(=O)(=O)C	0.0114
105	SFK52	CS(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C1CC1	0.641
106	SFK52	CS(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C1CC1	0.629
107	SFK52	CS(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C1CC1	0.297
108	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)C(=O)O	0.457
109	SFK52	CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)C(=O)O	0.378
110	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)CCCN	1.3
111	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)CCCN	0.000509
112	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)CCCN	0.00785
113	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)C(=O)N1CCC(O)CC1	0.145
114	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)C(=O)N1CCC(O)CC1	0.22
115	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnn2ccc(nc12)-c1cccc(c1)C(=O)N1CC(O)C1	0.358
116	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnn2ccc(nc12)-c1cccc(c1)C(=O)N1CC(O)C1	0.129
117	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnn2ccc(nc12)-c1cccc(c1)C(=O)N1CC(O)C1	0.148
118	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)N	1.96
119	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)N	0.917
120	SFK40	Nc1ncc(nc1-c1ccc(cc1)C(F)(F)F)-c1ccc(cc1)C(=O)O	10
121	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnn2ccc(cc12)-c1cccc(c1)S(=O)(=O)C1CC1	3.74
122	SFK52	CS(=O)(=O)c1ccc(cc1)-c1cnn2ccc(cc12)-c1cccc(c1)S(=O)(=O)C1CC1	2.51
123	SFK52	CS(=O)c1ccc(cc1)-c1cnn2ccc(cc12)-c1cccc(c1)S(=O)(=O)C1CC1	1.43
124	SFK52	CS(=O)c1ccc(cc1)-c1cnn2ccc(cc12)-c1cccc(c1)S(=O)(=O)C1CC1	2.08
125	SFK52	CS(=O)c1ccc(cc1)-c1cnn2ccc(cc12)-c1cccc(c1)S(=O)(=O)C1CC1	0.706
126	SFK52	CS(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)C(=O)N1CCNCC1	2.29
127	SFK52	CS(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)C(=O)N1CCNCC1	1.17
128	SFK52	CS(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)C(=O)N1CCC(O)CC1	2.18
129	SFK52	CS(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)C(=O)N1CCC(O)CC1	2.3
130	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.022
131	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.018
132	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.333
133	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.0526
134	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.0314
135	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.0362
136	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.0238
137	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.00679
138	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.0119
139	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.0145
140	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.0217
141	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.00603
142	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.017
143	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.0124
144	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.0493
145	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.0455
146	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.00186
147	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.00854
148	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.0164
149	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.0243
150	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.000508
151	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.0214
152	Pyrazolopyrimidine	CC(C)n1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.00141
153	SFK52	CS(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)C(=O)N1CCCCC1	2.06
154	SFK52	CS(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)C(=O)N1CCCCC1	0.964
155	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccc(cc1)Cl	10
156	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccc(cc1)Cl	0.377
157	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccc(cc1)Cl	10
158	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccc(cc1)Cl	10
159	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1cccc(c1)Cl	2
160	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1cccc(c1)Cl	3.2
161	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccc(cc1)F	2
162	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccc(cc1)F	1.6
163	Pyrazolopyrimidine	Cc1cccc(c1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.56
164	Pyrazolopyrimidine	Cc1cccc(c1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.7
165	Pyrazolopyrimidine	Cc1ccc(cc1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	10
166	Pyrazolopyrimidine	Cc1ccc(cc1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	10
167	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccccc1	0.67
168	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccccc1	0.37
169	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccncc1	0.72
170	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccncc1	0.25
171	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1cccnc1	0.35
172	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1cccnc1	0.35
173	Pyrazolopyrimidine	NC(=O)c1ccc(cc1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	1.23
174	Pyrazolopyrimidine	NC(=O)c1ccc(cc1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.334
175	Pyrazolopyrimidine	NC(=O)c1ccc(cc1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	2.07
176	Pyrazolopyrimidine	NC(=O)c1ccc(cc1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	1.53
177	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccccc1F	0.12
178	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccccc1F	0.08
179	Pyrazolopyrimidine	Cc1ccccc1Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.26
180	Pyrazolopyrimidine	Cc1ccccc1Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.19
181	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccccc1C(F)(F)F	0.21
182	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccccc1C(F)(F)F	0.25
183	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccccc1Cl	0.28
184	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccccc1Cl	0.36
185	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccc(nc1)Cl	0.548
186	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccc(nc1)Cl	0.559
187	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)CC1CCCCC1	0.0739
188	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)CC1CCCCC1	0.0497
189	Pyrazolopyrimidine	NC(=O)c1cccc(c1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.195
190	Pyrazolopyrimidine	NC(=O)c1cccc(c1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.063
191	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccc(nc1)F	0.622
192	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccc(nc1)F	0.624
193	Pyrazolopyrimidine	Cc1ccc(cn1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.2
194	Pyrazolopyrimidine	Cc1ccc(cn1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.29
195	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccc(c(c1)C#N)F	0.746
196	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccc(c(c1)C#N)F	0.779
197	SFK77	COc1ccc(cc1OC)-c1ccc2ncc(n2n1)Nc1cccnc1OC	2
198	Pyrazolopyrimidine	NC(=O)c1ccccc1Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.396
199	Pyrazolopyrimidine	NC(=O)c1ccccc1Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.194
200	Pyrazolopyrimidine	CNS(=O)(=O)c1ccc(cc1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.217
201	Pyrazolopyrimidine	CNS(=O)(=O)c1ccc(cc1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.465
202	Pyrazolopyrimidine	CNS(=O)(=O)c1ccc(cc1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.924
203	Pyrazolopyrimidine	Nc1ccc(cc1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.0605
204	Pyrazolopyrimidine	Nc1ccc(cc1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.045
205	Pyrazolopyrimidine	Nc1cccc(c1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.14
206	Pyrazolopyrimidine	Nc1cccc(c1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	0.0932
207	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccnc(c1)Cl	0.978
208	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccnc(c1)Cl	0.69
209	Pyrazolopyrimidine	Nc1nc2cc(ccc2o1)-c1nn(c2ncnc(c12)N)Cc1ccnc(c1)F	0.794
